City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Pochutla,MX,2022-03-27 15:58:48,15.7432,-96.4661,84.81,41,50,5.84
128,Saint-Pierre,RE,2022-03-27 15:58:49,-21.3393,55.4781,82.08,78,75,3.44
129,Dunda,TZ,2022-03-27 15:58:49,-8.1167,34.25,72.1,76,9,1.1
130,Ilulissat,GL,2022-03-27 15:58:49,69.2167,-51.1,25.97,76,25,6.4
131,Aswan,EG,2022-03-27 15:58:50,24.0934,32.907,78.51,11,41,22.24
132,Wanlaweyn,SO,2022-03-27 15:58:50,2.6185,44.8938,87.96,44,16,21.05
133,Kidal,ML,2022-03-27 15:58:50,18.4411,1.4078,98.1,6,0,15.46
134,Riacho De Santana,BR,2022-03-27 15:58:51,-13.6092,-42.9389,92.89,28,55,8.63
135,Kahului,US,2022-03-27 15:54:06,20.8947,-156.47,72.84,80,4,5.99
136,Kenai,US,2022-03-27 15:58:51,60.5544,-151.2583,30.15,82,98,7.65
137,Vryburg,ZA,2022-03-27 15:58:52,-26.9566,24.7284,77.02,29,0,4.94
138,Carnarvon,AU,2022-03-27 15:58:52,-24.8667,113.6333,75.27,73,40,3.44
139,Flinders,AU,2022-03-27 15:58:52,-34.5833,150.8552,68.18,94,94,3.0
140,Fukue,JP,2022-03-27 15:58:53,32.6881,128.8419,55.71,62,100,16.33
141,Hermanus,ZA,2022-03-27 15:58:12,-34.4187,19.2345,72.84,61,100,5.06
142,Zhigansk,RU,2022-03-27 15:55:48,66.7697,123.3711,-5.1,100,97,3.69
143,La Palma,US,2022-03-27 15:55:22,33.8464,-118.0467,61.29,75,100,5.75
144,Priboj,BA,2022-03-27 15:58:54,44.6028,18.9314,67.84,53,0,4.85
145,Saldanha,ZA,2022-03-27 15:58:54,-33.0117,17.9442,80.65,64,43,8.14
146,Shahe,CN,2022-03-27 15:58:55,39.2708,113.5478,37.27,30,0,2.33
147,Urumqi,CN,2022-03-27 15:58:55,43.801,87.6005,40.15,87,100,4.47
148,Kruisfontein,ZA,2022-03-27 15:58:55,-34.0033,24.7314,72.88,68,100,14.36
149,Lagoa,PT,2022-03-27 15:58:56,39.05,-27.9833,59.25,86,54,15.03
150,Hithadhoo,MV,2022-03-27 15:58:56,-0.6,73.0833,82.99,65,0,5.84
151,Koutsouras,GR,2022-03-27 15:58:57,35.0339,25.9469,64.11,53,7,3.4
152,Pacific Grove,US,2022-03-27 15:58:28,36.6177,-121.9166,52.02,94,100,1.99
153,Mwanza,TZ,2022-03-27 15:58:57,-2.5167,32.9,80.65,65,20,8.05
154,Tefe,BR,2022-03-27 15:58:57,-3.3542,-64.7114,84.31,84,75,3.44
155,Beloha,MG,2022-03-27 15:58:58,-25.1667,45.05,73.58,88,99,10.87
156,Tadine,NC,2022-03-27 15:58:58,-21.55,167.8833,76.21,77,70,12.44
157,Akureyri,IS,2022-03-27 15:58:59,65.6835,-18.0878,30.13,64,75,17.27
158,Lata,PT,2022-03-27 15:58:59,40.1629,-8.3327,74.07,39,81,11.7
159,Petropavlovsk-Kamchatskiy,RU,2022-03-27 15:59:00,53.0452,158.6483,36.19,60,100,20.13
160,Aklavik,CA,2022-03-27 15:59:00,68.2191,-135.0107,-18.4,83,20,4.61
161,Shelburne,CA,2022-03-27 15:59:01,44.0787,-80.2041,18.12,75,99,19.26
162,Qaanaaq,GL,2022-03-27 15:59:01,77.484,-69.3632,4.73,74,100,6.4
163,Carballo,ES,2022-03-27 15:59:02,43.213,-8.691,69.22,69,81,2.53
164,Farafangana,MG,2022-03-27 15:59:02,-22.8167,47.8333,79.18,87,42,7.07
165,Te Anau,NZ,2022-03-27 15:59:03,-45.4167,167.7167,50.86,93,12,0.98
166,Dudinka,RU,2022-03-27 15:59:03,69.4058,86.1778,-0.13,99,72,3.42
